# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.193000e+02
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	1.299906e-07	5.199623e-06	3.029546e-06	1.644764e-06	1.384782e-06
1             	5.750038e-02	2.300015e+00	1.898744e+01	9.551223e+00	9.436222e+00
2             	4.538240e-02	1.815296e+00	1.382962e+01	6.960190e+00	6.869426e+00
3             	4.929500e-03	1.971800e-01	-1.552347e+00	-7.712438e-01	-7.811028e-01
4             	-2.692877e-02	-1.077151e+00	-8.870710e+00	-4.462284e+00	-4.408426e+00
5             	-2.560544e-02	-1.024218e+00	-4.944395e+00	-2.497803e+00	-2.446592e+00
6             	-1.962446e-03	-7.849785e-02	3.034364e+00	1.515219e+00	1.519144e+00
7             	1.546594e-02	6.186378e-01	7.496980e+00	3.763956e+00	3.733024e+00
8             	2.023656e-02	8.094625e-01	7.013526e+00	3.526999e+00	3.486526e+00
9             	1.084149e-02	4.336597e-01	3.174460e+00	1.598072e+00	1.576389e+00
10            	-2.722893e-03	-1.089157e-01	-2.069517e-01	-1.061987e-01	-1.007529e-01
11            	-9.395792e-03	-3.758317e-01	-6.444971e-01	-3.316443e-01	-3.128528e-01
12            	-5.289580e-03	-2.115832e-01	1.488414e+00	7.389172e-01	7.494964e-01
13            	2.931947e-03	1.172779e-01	3.955849e+00	1.980856e+00	1.974992e+00
14            	5.229958e-03	2.091983e-01	4.351542e+00	2.181001e+00	2.170541e+00
15            	2.123761e-03	8.495042e-02	3.154352e+00	1.579300e+00	1.575052e+00
16            	-1.352705e-03	-5.410821e-02	1.601900e+00	7.995975e-01	8.023029e-01
17            	-2.489425e-03	-9.957700e-02	1.233024e+00	6.140224e-01	6.190013e-01
18            	-1.146371e-03	-4.585485e-02	1.927200e+00	9.624536e-01	9.647463e-01
19            	-1.953874e-05	-7.815496e-04	3.015013e+00	1.507487e+00	1.507526e+00
20            	3.279467e-05	1.311787e-03	3.300040e+00	1.650053e+00	1.649987e+00
21            	-5.377596e-04	-2.151038e-02	2.786901e+00	1.392913e+00	1.393988e+00
22            	-1.280752e-03	-5.123007e-02	2.053141e+00	1.025290e+00	1.027851e+00
23            	-1.830848e-03	-7.323392e-02	1.681079e+00	8.387086e-01	8.423703e-01
24            	-1.973153e-03	-7.892614e-02	1.803235e+00	8.996441e-01	9.035905e-01
25            	-1.721279e-03	-6.885117e-02	2.196778e+00	1.096668e+00	1.100110e+00
26            	-1.248282e-03	-4.993129e-02	2.547777e+00	1.272640e+00	1.275137e+00
27            	-6.950803e-04	-2.780321e-02	2.633697e+00	1.316153e+00	1.317544e+00
28            	-3.400522e-04	-1.360209e-02	2.467801e+00	1.233560e+00	1.234241e+00
29            	-2.972119e-04	-1.188848e-02	2.257340e+00	1.128373e+00	1.128967e+00
30            	-3.970355e-04	-1.588142e-02	2.180422e+00	1.089814e+00	1.090608e+00
31            	-3.815821e-04	-1.526328e-02	2.288309e+00	1.143773e+00	1.144536e+00
32            	-1.063217e-04	-4.252870e-03	2.480470e+00	1.240128e+00	1.240341e+00
33            	3.377109e-04	1.350843e-02	2.646127e+00	1.323401e+00	1.322726e+00
34            	7.717549e-04	3.087019e-02	2.727596e+00	1.364570e+00	1.363026e+00
35            	1.034211e-03	4.136844e-02	2.711578e+00	1.356823e+00	1.354755e+00
36            	1.131558e-03	4.526234e-02	2.646576e+00	1.324420e+00	1.322156e+00
37            	1.185238e-03	4.740952e-02	2.593529e+00	1.297950e+00	1.295579e+00
38            	1.314391e-03	5.257563e-02	2.593735e+00	1.298182e+00	1.295553e+00
39            	1.511021e-03	6.044085e-02	2.646092e+00	1.324557e+00	1.321535e+00
40            	1.675773e-03	6.703090e-02	2.707074e+00	1.355213e+00	1.351861e+00
41            	1.799984e-03	7.199935e-02	2.744982e+00	1.374291e+00	1.370691e+00
42            	1.874289e-03	7.497155e-02	2.728868e+00	1.366309e+00	1.362560e+00
43            	1.887362e-03	7.549447e-02	2.665212e+00	1.334494e+00	1.330719e+00
44            	1.851914e-03	7.407657e-02	2.568865e+00	1.286284e+00	1.282581e+00
45            	1.823707e-03	7.294829e-02	2.462044e+00	1.232846e+00	1.229198e+00
46            	1.851895e-03	7.407580e-02	2.370801e+00	1.187252e+00	1.183548e+00
47            	1.901140e-03	7.604561e-02	2.292490e+00	1.148146e+00	1.144344e+00
48            	1.945681e-03	7.782723e-02	2.207247e+00	1.105569e+00	1.101678e+00
49            	1.989041e-03	7.956165e-02	2.103609e+00	1.053794e+00	1.049816e+00
50            	2.028492e-03	8.113969e-02	1.997357e+00	1.000707e+00	9.966501e-01
51            	2.029493e-03	8.117970e-02	1.889408e+00	9.467337e-01	9.426747e-01
52            	2.019192e-03	8.076767e-02	1.782419e+00	8.932288e-01	8.891904e-01
53            	2.062560e-03	8.250240e-02	1.671534e+00	8.378293e-01	8.337042e-01
54            	2.221137e-03	8.884550e-02	1.571923e+00	7.881825e-01	7.837402e-01
55            	2.478634e-03	9.914535e-02	1.493767e+00	7.493622e-01	7.444049e-01
56            	2.749135e-03	1.099654e-01	1.444041e+00	7.247696e-01	7.192713e-01
57            	2.965866e-03	1.186346e-01	1.416519e+00	7.112252e-01	7.052935e-01
58            	3.159461e-03	1.263785e-01	1.408875e+00	7.075971e-01	7.012782e-01
59            	3.367392e-03	1.346957e-01	1.421775e+00	7.142551e-01	7.075203e-01
60            	3.572153e-03	1.428861e-01	1.447557e+00	7.273509e-01	7.202066e-01
61            	3.741731e-03	1.496693e-01	1.488611e+00	7.480474e-01	7.405639e-01
62            	3.843900e-03	1.537560e-01	1.541885e+00	7.747865e-01	7.670987e-01
63            	3.862838e-03	1.545135e-01	1.602005e+00	8.048651e-01	7.971394e-01
64            	3.767355e-03	1.506942e-01	1.663087e+00	8.353108e-01	8.277761e-01
65            	3.581917e-03	1.432767e-01	1.725301e+00	8.662325e-01	8.590686e-01
66            	3.342011e-03	1.336805e-01	1.785065e+00	8.958743e-01	8.891903e-01
67            	3.027717e-03	1.211087e-01	1.833784e+00	9.199198e-01	9.138644e-01
68            	2.633604e-03	1.053441e-01	1.867212e+00	9.362395e-01	9.309723e-01
69            	2.202580e-03	8.810320e-02	1.894237e+00	9.493212e-01	9.449160e-01
70            	1.778383e-03	7.113531e-02	1.930182e+00	9.668693e-01	9.633126e-01
71            	1.390842e-03	5.563369e-02	1.986169e+00	9.944752e-01	9.916935e-01
72            	1.082297e-03	4.329187e-02	2.060765e+00	1.031465e+00	1.029300e+00
73            	8.557440e-04	3.422976e-02	2.145138e+00	1.073425e+00	1.071713e+00
74            	6.852259e-04	2.740904e-02	2.235544e+00	1.118457e+00	1.117087e+00
75            	5.212078e-04	2.084831e-02	2.334574e+00	1.167808e+00	1.166766e+00
76            	3.775139e-04	1.510056e-02	2.435648e+00	1.218202e+00	1.217447e+00
77            	3.091363e-04	1.236545e-02	2.528649e+00	1.264633e+00	1.264015e+00
78            	3.014352e-04	1.205741e-02	2.612544e+00	1.306573e+00	1.305970e+00
79            	2.918567e-04	1.167427e-02	2.693496e+00	1.347040e+00	1.346456e+00
80            	3.062126e-04	1.224850e-02	2.770777e+00	1.385695e+00	1.385082e+00
81            	3.492651e-04	1.397060e-02	2.846048e+00	1.423373e+00	1.422675e+00
82            	3.794125e-04	1.517650e-02	2.923166e+00	1.461962e+00	1.461204e+00
83            	4.051585e-04	1.620634e-02	2.995023e+00	1.497917e+00	1.497106e+00
84            	4.422613e-04	1.769045e-02	3.059381e+00	1.530133e+00	1.529248e+00
85            	5.069724e-04	2.027889e-02	3.117896e+00	1.559455e+00	1.558441e+00
86            	5.801724e-04	2.320689e-02	3.172123e+00	1.586642e+00	1.585482e+00
87            	6.527085e-04	2.610834e-02	3.222261e+00	1.611783e+00	1.610478e+00
88            	7.650113e-04	3.060045e-02	3.264464e+00	1.632997e+00	1.631467e+00
89            	8.934440e-04	3.573776e-02	3.304623e+00	1.653205e+00	1.651418e+00
90            	1.018883e-03	4.075533e-02	3.338668e+00	1.670353e+00	1.668315e+00
91            	1.165956e-03	4.663825e-02	3.360843e+00	1.681588e+00	1.679256e+00
92            	1.347385e-03	5.389541e-02	3.378645e+00	1.690670e+00	1.687975e+00
93            	1.532826e-03	6.131305e-02	3.401571e+00	1.702318e+00	1.699253e+00
94            	1.749860e-03	6.999438e-02	3.431613e+00	1.717556e+00	1.714057e+00
95            	1.998621e-03	7.994484e-02	3.433416e+00	1.718706e+00	1.714709e+00
96            	2.267856e-03	9.071424e-02	3.430760e+00	1.717648e+00	1.713112e+00
97            	2.533523e-03	1.013409e-01	3.434739e+00	1.719903e+00	1.714836e+00
98            	2.820386e-03	1.128154e-01	3.438762e+00	1.722202e+00	1.716561e+00
99            	3.170071e-03	1.268029e-01	3.430942e+00	1.718641e+00	1.712301e+00
100           	3.538939e-03	1.415576e-01	3.398179e+00	1.702629e+00	1.695551e+00
